Question ID,Question,Forecast_Date,ForecastDate_Probability,Resolution,Closing_Date,Tournament
40216,Will the upper bound of the federal funds rate be 4.00% or higher at the December 2025 FOMC meeting?,10/10/25,33%,No,12/9/25,RAND x Metaculus 2026
40205,"Will Ohio State football team be ranked first in the AP Poll on November 1, 2025?",10/5/25,53%,Yes,11/1/25,RAND x Metaculus 2026
40185,"Will former South Korean President Yoon Suk Yeol be convicted of any criminal charges before January 16, 2026?",10/12/25,25%,No,1/16/26,RAND x Metaculus 2026
40217,Will the EU import at least 19 billion cubic meters of natural gas from Russia in the second half of 2025?,10/10/25,18%,No,1/1/25,RAND x Metaculus 2026
40195,"Will South Korea sign arms export deals worth >$5bn with any country between October 1 and December 15, 2025?",10/10/25,35%,No,12/15/25,RAND x Metaculus 2026
40191,Will the Democratic party win the Virginia gubernatorial election of 2025?,10/6/25,96%,Yes,11/4/25,RAND x Metaculus 2026
40215,Will the upper bound of the federal funds rate be 4.00% or lower at the October 2025 FOMC meeting?,10/6/25,90%,Yes,11/28/25,RAND x Metaculus 2026
40181,Will Russia’s annual GDP growth rate exceed 1.5% in Q3 2025?,10/8/25,15%,No,11/14/25,RAND x Metaculus 2026
40182,"Will France announce a nuclear deterrent extension agreement with a European country before December 16, 2025?",10/15/25,14%,No,12/16/25,RAND x Metaculus 2026
40208,"On December 1, 2025, will Nvidia be the world's most valuable company by market cap?",10/8/25,80%,Yes,12/1/25,RAND x Metaculus 2026
40183,"Will North Korea conduct a nuclear test before December 16, 2025?",10/10/25,5%,No,12/16/25,RAND x Metaculus 2026
40201,Will Philadelphia Union win the 2025 MLS championship for US soccer?,10/11/25,14%,No,12/5/25,RAND x Metaculus 2026
40186,Will the EU have an average annual inflation rate of at least 2.5% for any month before December 2025?,10/6/25,55%,Yes,12/1/25,RAND x Metaculus 2026
40207,"Will Secret of Secrets be the top of the New York Times Hardcover Fiction list for the week of November 2, 2025?",10/5/25,14%,No,10/22/25,RAND x Metaculus 2026
40194,"Will the Cambodia-Thailand conflict result in ⩾20 deaths between October 1 and December 15, 2025?",10/9/25,20%,Yes,12/15/25,RAND x Metaculus 2026
40189,Will there be a successful coup d’état in Africa before December 2025?,10/4/25,13%,Yes,12/1/25,RAND x Metaculus 2026
20783,Will Ali Khamenei cease to be supreme leader of Iran in 2024?,1/21/24,15%,No,1/1/25,ACX 2024
20748,Will the FDA or EMA withdraw approval of semaglutide for the treatment of obesity or diabetes in 2024?,1/21/24,8%,No,1/1/25,ACX 2024
20722,Will Ilya Sutskever still lead OpenAI’s Superalignment team at the end of 2024?,1/21/24,54%,No,1/1/25,ACX 2024
20758,Will OpenAI publish information describing Q* (Q-Star) in 2024?,1/21/24,35%,No,1/1/25,ACX 2024
20753,Will Benjamin Netanyahu remain Prime Minister of Israel throughout 2024?,1/21/24,50%,Yes,1/1/25,ACX 2024
20781,Will X declare bankruptcy in 2024?,1/21/24,10%,No,1/1/25,ACX 2024
20752,Will there be a bilateral cease-fire or peace agreement in the Russo-Ukraine conflict in 2024?,1/21/24,20%,No,1/1/25,ACX 2024
20763,Will the New Glenn launch vehicle reach an altitude of 100 kilometers in 2024?,1/21/24,45%,No,1/1/25,ACX 2024
