Question ID,Question,Forecast_Date,ForecastDate_Probability,Resolution,Closing_Date,Tournament,forecast_date_formatted,resolution_binary,community_prob
34454,"Will OpenAI publicly release the full o3 model before March 28, 2025?",2/8/25,70%,No,3/28/25,Bridgewater 2025,"February 08, 2025",0,0.7
31324,Will mifepristone become significantly restricted or illegal to prescribe for abortions across the US before 2026?,2/1/25,20%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.2
40191,Will the Democratic party win the Virginia gubernatorial election of 2025?,10/6/25,96%,Yes,11/4/25,RAND x Metaculus 2026,"October 06, 2025",1,0.96
20758,Will OpenAI publish information describing Q* (Q-Star) in 2024?,1/21/24,35%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.35
40194,"Will the Cambodia-Thailand conflict result in ⩾20 deaths between October 1 and December 15, 2025?",10/9/25,20%,Yes,12/15/25,RAND x Metaculus 2026,"October 09, 2025",1,0.2
20761,Will Ukraine control central Bakhmut at the end of 2024?,1/21/24,25%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.25
31303,Will inflation-adjusted gas prices rise in the US in 2025?,2/1/25,40%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.4
20759,Will an AI win a coding contest on Codeforces in 2024?,1/21/24,20%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.2
31098,"Will Donald Trump have a positive net favorability rate on December 20, 2025, according to 538?",2/1/25,20%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.2
40208,"On December 1, 2025, will Nvidia be the world's most valuable company by market cap?",10/8/25,80%,Yes,12/1/25,RAND x Metaculus 2026,"October 08, 2025",1,0.8
20753,Will Benjamin Netanyahu remain Prime Minister of Israel throughout 2024?,1/21/24,50%,Yes,1/1/25,ACX 2024,"January 21, 2024",1,0.5
22390,"Will Donald Trump file a new writ petition or application for stay with the US Supreme Court between April 16 and May 19, 2024?",4/21/24,40%,No,5/19/24,Bridgewater 2024,"April 21, 2024",0,0.4
22914,"Before May 20, 2024, will it be announced that Minouche Shafik will no longer be President of Columbia University?",5/1/24,5%,No,5/20/24,Bridgewater 2024,"May 01, 2024",0,0.05
22385,"Will SpaceX's fourth Starship integrated flight test reach an altitude of at least 200 kilometers before May 20, 2024?",4/19/24,65%,No,5/20/24,Bridgewater 2024,"April 19, 2024",0,0.65
20692,Will Claudia Sheinbaum win the 2024 Mexican Presidential Election?,1/21/24,80%,Yes,1/1/25,ACX 2024,"January 21, 2024",1,0.8
40182,"Will France announce a nuclear deterrent extension agreement with a European country before December 16, 2025?",10/15/25,14%,No,12/16/25,RAND x Metaculus 2026,"October 15, 2025",0,0.14
31348,Will the US government release additional Epstein documents in 2025?,2/1/25,32%,Yes,1/1/26,ACX 2025,"February 01, 2025",1,0.32
41699,Will U.S. consumer sentiment in March 2026 be higher than in February 2026?,2/4/26,55%,No,3/1/25,Bridgewater 2026,"February 04, 2026",0,0.55
31326,"Will OpenAI top the Chatbot Arena Leaderboard on December 31, 2025?",2/1/25,38%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.38
20720,Will annual US core CPI inflation be above 3% in December 2024?,1/21/24,43%,Yes,1/1/25,ACX 2024,"January 21, 2024",1,0.43
31255,"On December 31, 2025, will Google, Meta, Amazon, Tesla, or X accept crypto as a payment?",2/1/25,60%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.6
22308,"Will Israel and Hamas reach a ceasefire deal before May 16, 2024?",4/20/24,3%,No,5/16/24,Bridgewater 2024,"April 20, 2024",0,0.03
31130,Will major components of the Affordable Care Act be repealed or curtailed before 2026?,2/1/25,25%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.25
22725,"As of May 21, 2024, will OpenAI report at least 99.9% uptime for ChatGPT for May 2024?",4/30/24,35%,No,5/21/24,Bridgewater 2024,"April 30, 2024",0,0.35
22383,Will the Kingdom of the Planet of the Apes domestic opening box office set a new franchise record?,4/18/24,8%,No,5/10/24,Bridgewater 2024,"April 18, 2024",0,0.08
22726,"On May 18th, will Kyle, Texas set the world record for largest gathering of individuals with the same first name?",5/3/24,10%,No,5/18/24,Bridgewater 2024,"May 03, 2024",0,0.1
31307,Will Nvidia outperform the S&P 500 in 2025?,2/1/25,70%,Yes,1/1/26,ACX 2025,"February 01, 2025",1,0.7
22787,"Will the San Francisco Bay Area experience an earthquake of at least 3.0 magnitude during the seven-day period ending midday on May 14th, 2024?",5/7/24,13%,No,5/14/24,Bridgewater 2024,"May 07, 2024",0,0.13
31045,Will Jerome Powell cease to hold the office of Chair of the Federal Reserve before 2026?,2/1/25,20%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.2
20776,Will cannabis be removed from Schedule I of the Controlled Substance Act before 2025?,1/21/24,35%,No,1/1/25,ACX 2024,"January 21, 2024",0,0.35
40215,Will the upper bound of the federal funds rate be 4.00% or lower at the October 2025 FOMC meeting?,10/6/25,90%,Yes,11/28/25,RAND x Metaculus 2026,"October 06, 2025",1,0.9
31298,"Will there be at least 1,000 deaths due to direct conflict between Israel and Iran in 2025?",2/1/25,15%,Yes,1/1/26,ACX 2025,"February 01, 2025",1,0.15
31258,Will Google's search market share drop below 85% in 2025?,2/1/25,19%,No,1/1/26,ACX 2025,"February 01, 2025",0,0.19
40207,"Will Secret of Secrets be the top of the New York Times Hardcover Fiction list for the week of November 2, 2025?",10/5/25,14%,No,10/22/25,RAND x Metaculus 2026,"October 05, 2025",0,0.14
